ID,TANK,SPECIES,TREATMENT,AGE,STATUS,TILE,ST,,,,,,,,,,,,,,
8ES1-1_5,E,PSTR,SUNLIGHT,14,0,8ES1-1,PSTRSUNLIGHT,,,,,,,,,,,,,,
8ES1-1_7,E,PSTR,SUNLIGHT,14,0,8ES1-1,PSTRSUNLIGHT,,,,,,,,,,,,,,
8ES1-1_8,E,PSTR,SUNLIGHT,14,0,8ES1-1,PSTRSUNLIGHT,,,,,,,,,,,,,,
4EN2-9_4,E,PCLI,NATURAL,7,1,4EN2-9,PCLINATURAL,,,,,,,,,,,,,,
6EB2-6_2,E,PCLI,BLUE,7,1,6EB2-6,PCLIBLUE,,,,,,,,,,,,,,
7ES2-6_2,E,PCLI,SUNLIGHT,7,1,7ES2-6,PCLISUNLIGHT,,,,,,,,,,,,,,
5EB2-2_2,E,PCLI,BLUE,8,1,5EB2-2,PCLIBLUE,,,,,,,,,,,,,,
5EB2-2_3,E,PCLI,BLUE,9,1,5EB2-2,PCLIBLUE,,,,,,,,,,,,,,
5EB2-2_5,E,PCLI,BLUE,9,1,5EB2-2,PCLIBLUE,,,,,,,,,,,,,,
5EN2-4_5,E,PCLI,NATURAL,9,1,5EN2-4,PCLINATURAL,,,,,,,,,,,,,,
5ES2-6_4,E,PCLI,SUNLIGHT,9,1,5ES2-6,PCLISUNLIGHT,,,,,,,,,,,,,,
7ES2-6_3,E,PCLI,SUNLIGHT,9,1,7ES2-6,PCLISUNLIGHT,,,,,,,,,,,,,,
5ES2-8_2,E,PCLI,SUNLIGHT,10,1,5ES2-8,PCLISUNLIGHT,,,,,,,,,,,,,,
6EN2-5_6,E,PCLI,NATURAL,10,1,6EN2-5,PCLINATURAL,,,,,,,,,,,,,,
3EN2-2_3,E,PCLI,NATURAL,11,1,3EN2-2,PCLINATURAL,,,,,,,,,,,,,,
6EB2-6_1,E,PCLI,BLUE,11,1,6EB2-6,PCLIBLUE,,,,,,,,,,,,,,
6EB2-6_3,E,PCLI,BLUE,11,1,6EB2-6,PCLIBLUE,,,,,,,,,,,,,,
6EN2-5_1,E,PCLI,NATURAL,11,1,6EN2-5,PCLINATURAL,,,,,,,,,,,,,,
4EB2-5_1,E,PCLI,BLUE,13,1,4EB2-5,PCLIBLUE,,,,,,,,,,,,,,
7ES2-6_5,E,PCLI,SUNLIGHT,13,1,7ES2-6,PCLISUNLIGHT,,,,,,,,,,,,,,
3EB2-12_1,E,PCLI,BLUE,14,0,3EB2-12,PCLIBLUE,,,,,,,,,,,,,,
3EB2-12_2,E,PCLI,BLUE,14,0,3EB2-12,PCLIBLUE,,,,,,,,,,,,,,
3EB2-12_3,E,PCLI,BLUE,14,0,3EB2-12,PCLIBLUE,,,,,,,,,,,,,,
3EB2-5_1,E,PCLI,BLUE,14,0,3EB2-5,PCLIBLUE,,,,,,,,,,,,,,
3EB2-5_2,E,PCLI,BLUE,14,0,3EB2-5,PCLIBLUE,,,,,,,,,,,,,,
3EB2-5_3,E,PCLI,BLUE,14,0,3EB2-5,PCLIBLUE,,,,,,,,,,,,,,
3EN2-2_1,E,PCLI,NATURAL,14,0,3EN2-2,PCLINATURAL,,,,,,,,,,,,,,
3EN2-2_2,E,PCLI,NATURAL,14,0,3EN2-2,PCLINATURAL,,,,,,,,,,,,,,
3EN2-6_1,E,PCLI,NATURAL,14,0,3EN2-6,PCLINATURAL,,,,,,,,,,,,,,
3EN2-6_2,E,PCLI,NATURAL,14,0,3EN2-6,PCLINATURAL,,,,,,,,,,,,,,
